filename,duration_sec,fps,resolution,total_frames,frames_with_face,total_blinks,blink_rate_per_s,face_width,face_height,left_eye_width,left_eye_height,right_eye_width,right_eye_height,avg_eye_width,avg_eye_height,nose_width,nose_height,mouth_width,mouth_height
GX010968.MP4,144.01,29.97,3840x2160,4316,4316,25,0.1736,536.21,656.02,105.22,35.14,98.91,34.24,101.94,34.41,159.96,162.51,181.07,7.4
GX010969.MP4,122.46,29.97,3840x2160,3670,3670,19,0.1552,531.69,647.42,109.92,38.74,99.57,37.49,104.7,38.11,154.82,165.3,184.24,3.14
GX010970.MP4,134.27,29.97,3840x2160,4024,4024,24,0.1787,516.1,629.71,106.75,35.59,95.99,34.59,101.37,35.09,154.16,156.47,183.73,10.66
GX010971.MP4,225.02,29.97,3840x2160,6744,6744,69,0.3066,557.56,673.44,113.81,38.98,110.57,38.38,108.59,38.68,169.62,173.44,198.64,12.18
GX010972.MP4,164.96,29.97,3840x2160,4944,4943,28,0.1697,586.5,692.5,119.63,42.33,110.43,40.27,114.82,41.3,187.06,172.33,219.13,10.12
GX010973.MP4,184.42,29.97,3840x2160,5527,5527,50,0.2711,602.72,725.78,130.48,42.8,119.27,39.15,123.3,40.91,190.05,186.63,220.15,16.58
GX010974.MP4,157.22,29.97,3840x2160,4712,4712,35,0.2226,633.98,835.53,105.49,39.95,146.42,37.68,125.2,38.82,193.18,229.16,228.83,13.97
GX010975.MP4,127.09,29.97,3840x2160,3809,3809,33,0.2597,596.92,807.64,124.32,34.52,147.76,34.18,121.37,34.35,180.93,208.8,218.06,25.25
GX010976.MP4,153.29,29.97,3840x2160,4594,4594,46,0.3001,800.25,1030.44,194.37,51.23,154.88,53.35,169.93,52.29,244.8,280.4,283.74,28.16
GX010977.MP4,142.78,29.97,3840x2160,4279,4278,17,0.1191,539.17,649.1,110.86,39.21,100.72,38.1,104.43,38.66,166.05,165.58,195.04,11.01
GX010978.MP4,125.06,29.97,3840x2160,3748,3746,14,0.1119,563.75,686.86,115.68,37.85,107.42,34.48,111.55,35.66,172.68,176.37,200.83,19.67
