filename,duration_sec,fps,resolution,total_frames,frames_with_face,total_blinks,blink_rate_per_s,face_width_mm,face_height_mm,left_eye_width_mm,left_eye_height_mm,right_eye_width_mm,right_eye_height_mm,avg_eye_width_mm,avg_eye_height_mm,nose_width_mm,nose_height_mm,mouth_width_mm,mouth_height_mm
GX010968.MP4,144.01,29.97,3840x2160,4316,4316,25,0.1736,183.879,224.9647,36.0824,12.0503,33.9186,11.7417,34.9576,11.8,54.8541,55.7285,62.0932,2.5376
GX010969.MP4,122.46,29.97,3840x2160,3670,3670,19,0.1552,164.6272,200.4607,34.0345,11.9951,30.8299,11.608,32.4183,11.8,47.9369,51.1818,57.0462,0.9722
GX010970.MP4,134.27,29.97,3840x2160,4024,4024,24,0.1787,173.5531,211.7577,35.8977,11.9681,32.2793,11.6319,34.0885,11.8,51.8406,52.6174,61.7844,3.5847
GX010971.MP4,225.02,29.97,3840x2160,6744,6744,69,0.3066,170.0933,205.4445,34.7197,11.8915,33.7313,11.7085,33.1272,11.8,51.7455,52.9109,60.5986,3.7157
GX010972.MP4,164.96,29.97,3840x2160,4944,4943,28,0.1697,167.5714,197.8571,34.18,12.0943,31.5514,11.5057,32.8057,11.8,53.4457,49.2371,62.6086,2.8914
GX010973.MP4,184.42,29.97,3840x2160,5527,5527,50,0.2711,173.8474,209.3426,37.6354,12.3451,34.402,11.2923,35.5644,11.8,54.8176,53.8312,63.4996,4.7823
GX010974.MP4,157.22,29.97,3840x2160,4712,4712,35,0.2226,192.709,253.9736,32.0655,12.1435,44.5069,11.4535,38.0567,11.8,58.7204,69.6571,69.5568,4.2464
GX010975.MP4,127.09,29.97,3840x2160,3809,3809,33,0.2597,205.0555,277.4426,42.7067,11.8584,50.7589,11.7416,41.6933,11.8,62.1535,71.7275,74.9085,8.6739
GX010976.MP4,153.29,29.97,3840x2160,4594,4594,46,0.3001,180.5881,232.5338,43.8624,11.5608,34.9509,12.0392,38.3472,11.8,55.2427,63.2763,64.0301,6.3547
GX010977.MP4,142.78,29.97,3840x2160,4279,4278,17,0.1191,164.5682,198.1216,33.8372,11.9679,30.7423,11.6291,31.8747,11.8,50.6826,50.5392,59.5311,3.3605
GX010978.MP4,125.06,29.97,3840x2160,3748,3746,14,0.1119,186.5466,227.284,38.2789,12.5247,35.5456,11.4095,36.9122,11.8,57.1403,58.3614,66.4552,6.5089
